trial,participantid,datetime,staketype,choice,timespent,robot1energy,robot1pace,robot1safety,robot1reliability,robot1intelligence,robot2energy,robot2pace,robot2safety,robot2reliability,robot2intelligence,robot3energy,robot3pace,robot3safety,robot3reliability,robot3intelligence
1,1001,20250410120000,high,2,5,0.65,0.55,0.7,0.6,0.58,0.75,0.45,0.8,0.65,0.62,0.5,0.6,0.65,0.55,0.5
2,1001,20250410120001,low,1,3,0.55,0.45,0.6,0.5,0.48,0.7,0.35,0.75,0.6,0.57,0.45,0.55,0.6,0.5,0.45
3,1001,20250410120002,high,3,7,0.6,0.5,0.65,0.55,0.53,0.65,0.4,0.7,0.55,0.6,0.55,0.65,0.7,0.6,0.55
4,1002,20250410120003,low,2,4,0.7,0.6,0.75,0.65,0.63,0.8,0.5,0.85,0.7,0.67,0.6,0.7,0.75,0.65,0.6
5,1002,20250410120004,high,1,6,0.5,0.4,0.55,0.45,0.43,0.6,0.3,0.65,0.5,0.52,0.4,0.5,0.55,0.45,0.4
6,1002,20250410120005,low,3,2,0.75,0.65,0.8,0.7,0.68,0.85,0.55,0.9,0.75,0.73,0.65,0.75,0.8,0.7,0.65
7,1003,20250410120006,high,2,8,0.58,0.48,0.63,0.53,0.51,0.68,0.38,0.73,0.58,0.61,0.48,0.58,0.63,0.53,0.48
8,1003,20250410120007,low,1,5,0.62,0.52,0.67,0.57,0.55,0.72,0.42,0.77,0.62,0.65,0.52,0.62,0.67,0.57,0.52
9,1003,20250410120008,high,3,9,0.67,0.57,0.72,0.62,0.6,0.77,0.47,0.82,0.67,0.7,0.57,0.67,0.72,0.62,0.57
10,1004,20250410120009,low,2,3,0.53,0.43,0.58,0.48,0.46,0.63,0.33,0.68,0.53,0.56,0.43,0.53,0.58,0.48,0.43
